age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
over 34,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-31T13:10:19+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,,,,,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-31T14:03:06+00:00,False,,Black,Person search,,Controlled drugs,,,51.464755,2279481.0,On or near Winkworth Place,-2.582536,
10-17,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-31T16:34:59+00:00,False,,White,Person search,,Stolen goods,,,51.378904,2288598.0,On or near Parking Area,-2.358249,
over 34,,True,Black/African/Caribbean/Black British - Caribbean,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-31T16:57:49+00:00,False,,Black,Person search,,Offensive weapons,,,51.456685,2279182.0,On or near Broad Weir,-2.586981,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-31T17:08:16+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.222020,2268289.0,On or near Petrol Station,-2.972407,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-31T17:12:34+00:00,False,,White,Person search,,,,,50.940356,2276468.0,On or near South Street,-2.631349,
18-24,,True,White - Irish,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-31T17:12:34+00:00,False,,White,Person search,,,,,50.940356,2276468.0,On or near South Street,-2.631349,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-31T20:14:24+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,,,51.446148,2279423.0,On or near Petrol Station,-2.583162,
10-17,,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-31T21:55:29+00:00,False,,White,Person search,,Evidence of offences under the Act,,,51.313839,2271388.0,On or near Southmead,-2.829689,
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-31T22:16:27+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.332791,2268701.0,On or near Baildon Crescent,-2.961744,
