age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object.id,outcome_object.name,location.latitude,location.street.id,location.street.name,location.longitude,location
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-11T01:30:45+00:00,False,,White,Person search,,Article for use in theft,,,51.463611,2280256.0,On or near Lansdown Road,-2.569983,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-11T01:50:47+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.416875,2276622.0,On or near Highridge Green,-2.627670,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-11T01:50:47+00:00,False,,White,Person search,,Article for use in theft,,,51.416875,2276622.0,On or near Highridge Green,-2.627670,
18-24,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-11T03:27:45+00:00,False,,Black,Person search,,Controlled drugs,,,51.454535,2277798.0,On or near Brandon Hill Lane,-2.606570,
18-24,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-11T03:27:45+00:00,False,,Black,Person search,,Controlled drugs,,,51.453699,2278063.0,On or near Charlotte Street South,-2.604832,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-11T12:36:31+00:00,False,,White,Person search,,Controlled drugs,,,51.501252,2277773.0,On or near Lorton Road,-2.609063,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-11T12:36:31+00:00,False,,White,Person search,,Controlled drugs,,,51.501252,2277773.0,On or near Lorton Road,-2.609063,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-11T12:36:31+00:00,False,,White,Person search,,Controlled drugs,,,51.501252,2277773.0,On or near Lorton Road,-2.609063,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-11T12:36:31+00:00,False,,White,Person search,,Controlled drugs,,,51.501252,2277773.0,On or near Lorton Road,-2.609063,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-11T20:01:10+00:00,False,,White,Person search,,Controlled drugs,,,51.461709,2279159.0,On or near Wilder Street,-2.587391,
25-34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-12T02:22:39+00:00,False,,White,Person search,,Anything to threaten or harm anyone,bu-arrest,Arrest,,,,,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-12T02:28:19+00:00,False,,White,Person search,,Offensive weapons,,,51.468050,2280473.0,On or near Stapleton Road,-2.567044,
18-24,A no further action disposal,True,Other ethnic group - Not stated,Female,Misuse of Drugs Act 1971 (section 23),True,2023-01-12T02:39:14+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,50.936679,2276242.0,On or near A30,-2.637760,
10-17,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-17T20:37:27+00:00,True,,Black,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,,,,,
over 34,A no further action disposal,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-12T02:49:24+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.525605,2278624.0,On or near Shopping Area,-2.595396,
over 34,,True,,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-12T02:59:39+00:00,False,,Mixed,Person search,,Stolen goods,,,51.473334,2282875.0,On or near Charminster Road,-2.525212,
over 34,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-12T13:21:40+00:00,False,,Black,Person search,,Controlled drugs,,,51.345325,2268449.0,On or near Parking Area,-2.968381,
over 34,,True,Mixed/Multiple ethnic groups - White and Asian,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-12T18:29:34+00:00,False,,Mixed,Person search,,Controlled drugs,,,51.474693,2283217.0,On or near Thicket Avenue,-2.518806,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-12T18:58:59+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.443210,2278432.0,On or near Murray Street,-2.598707,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),False,2023-01-12T18:58:59+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.443210,2278432.0,On or near Murray Street,-2.598707,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-12T21:20:02+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.019036,2265861.0,On or near Supermarket,-3.103938,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-12T21:20:02+00:00,False,,White,Person search,,Controlled drugs,,,51.019036,2265861.0,On or near Supermarket,-3.103938,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-12T22:41:04+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.470788,2285418.0,On or near Carsons Road Link,-2.481617,
18-24,,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-12T23:21:50+00:00,False,,Black,Person search,,Offensive weapons,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-12T23:33:44+00:00,False,,White,Person search,,Stolen goods,,,51.234990,2267291.0,On or near Shopping Area,-2.997643,
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-13T00:17:09+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.487520,2285823.0,On or near Arthurs Close,-2.475226,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-13T00:25:59+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.128048,2267077.0,On or near High Street,-3.005629,
25-34,,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-13T03:38:39+00:00,False,,Other,Person and Vehicle search,,Controlled drugs,,,51.469422,2281743.0,On or near Rose Green Road,-2.546963,
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-13T04:40:35+00:00,False,,White,Person search,,Controlled drugs,bu-community-resolution,Community resolution,51.470788,2285418.0,On or near Carsons Road Link,-2.481617,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-13T04:41:52+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.480133,2285671.0,On or near Sports/Recreation Area,-2.477249,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-13T06:45:24+00:00,False,,White,Person search,,Offensive weapons,,,51.481894,2284044.0,On or near Victoria Street,-2.506676,
18-24,,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-13T11:47:53+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,,,51.476693,2274128.0,On or near Motorway Service Area,-2.708679,
,,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-13T11:47:53+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,,,51.476693,2274128.0,On or near Motorway Service Area,-2.708679,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-13T12:33:18+00:00,False,,White,Person search,,Offensive weapons,bu-no-further-action,A no further action disposal,51.411573,2279278.0,On or near The Boulevard,-2.585325,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-13T14:09:05+00:00,False,,White,Person search,,Stolen goods,,,51.482398,2272560.0,On or near Channel View Crescent,-2.780210,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-13T17:59:28+00:00,False,,White,Person search,,Offensive weapons,,,51.535397,2287028.0,On or near Hollybrook Mews,-2.424370,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-13T21:01:23+00:00,False,,White,Person search,,Evidence of offences under the Act,bu-arrest,Arrest,51.487993,2284374.0,On or near Buckingham Place,-2.501875,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-13T22:30:18+00:00,False,,White,Person search,,Stolen goods,,,51.013425,2265904.0,On or near Paul Street,-3.101067,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-13T23:20:53+00:00,False,,White,Person search,,Offensive weapons,,,51.448443,2278882.0,On or near Parking Area,-2.591667,
25-34,,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T00:24:45+00:00,False,,White,Person search,,Offensive weapons,,,50.939644,2276137.0,On or near Beer Street,-2.641430,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-14T00:36:54+00:00,False,,Black,Person search,,Controlled drugs,,,51.450979,2278477.0,On or near Canon'S Road,-2.598608,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-14T00:36:54+00:00,False,,Black,Person search,,Controlled drugs,,,51.450979,2278477.0,On or near Canon'S Road,-2.598608,
18-24,A no further action disposal,True,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-14T00:36:54+00:00,False,,Black,Person search,,Evidence of offences under the Act,bu-no-further-action,A no further action disposal,51.450979,2278477.0,On or near Canon'S Road,-2.598608,
25-34,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-14T01:10:08+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.440973,2278527.0,On or near Stafford Street,-2.596649,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T01:18:13+00:00,False,,White,Person search,,,,,,,,,
,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T03:13:18+00:00,False,,Black,Person search,,Offensive weapons,,,51.461726,2281131.0,On or near B4465,-2.556386,
,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T03:13:18+00:00,False,,Black,Person search,,Offensive weapons,,,51.460925,2280762.0,On or near Canon Street,-2.562033,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T04:49:43+00:00,False,,White,Person search,,Articles for use in criminal damage,,,51.450199,2278876.0,On or near Redcliff Backs,-2.591129,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T04:49:43+00:00,False,,White,Person search,,,,,51.450199,2278876.0,On or near Redcliff Backs,-2.591129,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-14T05:37:33+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.465068,2284762.0,On or near Hunters Drive,-2.494800,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T09:50:28+00:00,False,,White,Person and Vehicle search,,Article for use in theft,,,51.355519,2265295.0,On or near Parking Area,-2.994475,
10-17,Community resolution,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-14T11:39:03+00:00,False,,Black,Person search,,Controlled drugs,bu-community-resolution,Community resolution,,,,,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T14:49:19+00:00,False,,White,Person search,,Offensive weapons,,,51.197452,2264240.0,On or near Further/Higher Educational Building,-3.461656,
10-17,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-14T15:59:06+00:00,False,,White,Person search,,Controlled drugs,,,51.421752,2279444.0,On or near Casey Close,-2.583398,
10-17,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-14T16:07:13+00:00,False,,White,Person search,,Controlled drugs,,,51.422663,2279123.0,On or near Creswicke Road,-2.588213,
10-17,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-14T16:14:37+00:00,False,,Asian,Person search,,Controlled drugs,,,51.459290,2279828.0,On or near Harleston Street,-2.576637,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T16:50:34+00:00,False,,White,Person search,,Stolen goods,,,51.528702,2278363.0,On or near Centaurus Road,-2.598733,
10-17,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-14T16:50:34+00:00,False,,White,Person search,,Stolen goods,bu-community-resolution,Community resolution,51.530693,2278364.0,On or near Supermarket,-2.596496,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-14T16:56:18+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.133012,2267390.0,On or near Supermarket,-2.996161,
10-17,,True,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-14T19:00:13+00:00,False,,Black,Person search,,Offensive weapons,,,51.458279,2279368.0,On or near Shopping Area,-2.584727,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-14T19:17:29+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.427701,2278456.0,On or near Novers Park Close,-2.598447,
18-24,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-14T20:32:38+00:00,False,,Black,Person search,,Controlled drugs,,,51.464419,2285546.0,On or near Hobbs Lane,-2.480010,
over 34,Arrest,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-14T21:15:05+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.381317,2288481.0,On or near Kingsmead Square,-2.362923,
10-17,,True,White - Any other White background,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-14T23:40:22+00:00,False,,White,Person search,,Offensive weapons,,,51.228478,2289260.0,On or near Gorehedge,-2.321748,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T00:26:57+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.414731,2280613.0,On or near Gilda Crescent,-2.564802,
18-24,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T00:26:57+00:00,False,,White,Person search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.414731,2280613.0,On or near Gilda Crescent,-2.564802,
25-34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-15T00:37:59+00:00,False,,White,Person search,,Controlled drugs,,,51.450094,2278406.0,On or near Nightclub,-2.599344,
over 34,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-15T02:27:32+00:00,False,,White,Person search,,Controlled drugs,,,51.529232,2287276.0,On or near Harescombe,-2.413472,
25-34,A no further action disposal,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T03:02:37+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.486857,2281733.0,On or near Broom Hill,-2.546783,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-15T03:33:27+00:00,False,,White,Person search,,Offensive weapons,,,51.378637,2288616.0,On or near Railway Street,-2.357112,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-15T03:33:27+00:00,False,,White,Person search,,Offensive weapons,,,51.378637,2288616.0,On or near Railway Street,-2.357112,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-15T04:20:27+00:00,False,,White,Person search,,Controlled drugs,,,51.452546,2279307.0,On or near Ferry Terminal,-2.583920,
,,True,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),,2023-01-15T04:20:27+00:00,False,,White,Person search,,Controlled drugs,,,51.452546,2279307.0,On or near Ferry Terminal,-2.583920,
25-34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),False,2023-01-15T12:44:27+00:00,False,,White,Person search,,Stolen goods,,,51.453237,2279601.0,On or near Parking Area,-2.580504,
10-17,,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-15T13:18:16+00:00,True,,Black,Person search,,Controlled drugs,,,51.455847,2280003.0,On or near St Phillips Road,-2.574593,
over 34,Community resolution,True,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T15:54:37+00:00,False,,Mixed,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.482557,2280211.0,On or near Morris Close,-2.571847,
25-34,Community resolution,True,Mixed/Multiple ethnic groups - White and Asian,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T15:54:37+00:00,False,,Asian,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.482557,2280211.0,On or near Morris Close,-2.571847,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-15T16:28:32+00:00,False,,White,Person search,,Offensive weapons,,,50.867483,2268467.0,On or near Alun Rees Way,-2.968179,
over 34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-15T18:28:02+00:00,False,,White,Person search,,,,,51.445754,2284637.0,On or near Shopping Area,-2.497009,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-15T19:45:17+00:00,False,,White,Person search,,Offensive weapons,,,51.538981,2287516.0,On or near Bowling Hill,-2.402530,
10-17,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-15T20:31:27+00:00,False,,White,Person search,,Offensive weapons,bu-arrest,Arrest,51.538981,2287516.0,On or near Bowling Hill,-2.402530,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),,2023-01-15T20:31:27+00:00,False,,White,Person search,,Offensive weapons,,,51.540587,2287297.0,On or near Shopping Area,-2.413661,
18-24,Khat or Cannabis warning,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T20:38:47+00:00,False,,White,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,,,,,
25-34,Khat or Cannabis warning,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-15T22:23:22+00:00,True,,Mixed,Person search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.167483,2267761.0,On or near Orchard Close,-2.978768,
,,False,,,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-16T00:00:00+00:00,,,,Vehicle search,,Offensive weapons,,,51.420592,2279671.0,On or near Heatherdene,-2.579889,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-16T05:30:32+00:00,False,,White,Person search,,Controlled drugs,,,51.436748,2278047.0,On or near West Street,-2.605082,
25-34,,True,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-16T15:16:37+00:00,False,,White,Person search,,Controlled drugs,,,51.477507,2274365.0,On or near Supermarket,-2.707929,
over 34,,True,Asian/Asian British - Any other Asian background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-16T15:16:37+00:00,False,,Asian,Person search,,Controlled drugs,,,51.477507,2274365.0,On or near Supermarket,-2.707929,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-16T17:01:37+00:00,False,,White,Person search,,Offensive weapons,,,51.437499,2278340.0,On or near Sheene Way,-2.600661,
over 34,Khat or Cannabis warning,True,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-16T20:22:28+00:00,False,,Black,Person and Vehicle search,,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,51.541173,2280461.0,On or near Manor Grove,-2.566295,
25-34,,True,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-16T20:24:51+00:00,False,,Black,Person search,,Controlled drugs,,,51.455847,2280003.0,On or near St Phillips Road,-2.574593,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),,2023-01-16T22:19:29+00:00,False,,White,Person search,,Controlled drugs,,,,,,,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-16T23:29:12+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.494013,2275535.0,On or near Ferndown Close,-2.657337,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-16T23:29:12+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.494013,2275535.0,On or near Ferndown Close,-2.657337,
25-34,A no further action disposal,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-16T23:29:12+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-no-further-action,A no further action disposal,51.494013,2275535.0,On or near Ferndown Close,-2.657337,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-16T23:29:12+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-arrest,Arrest,51.494013,2275535.0,On or near Ferndown Close,-2.657337,
18-24,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-17T00:17:01+00:00,False,,White,Person search,,Controlled drugs,bu-arrest,Arrest,51.025526,2265863.0,On or near St Andrew'S Road,-3.103308,
over 34,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),True,2023-01-17T02:08:11+00:00,False,,White,Person search,,Controlled drugs,bu-community-resolution,Community resolution,51.459258,2278837.0,On or near Cannon Street,-2.592109,
25-34,,True,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-17T02:18:41+00:00,False,,White,Person search,,Article for use in theft,,,51.445212,2278900.0,On or near Parking Area,-2.592187,
over 34,,True,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-17T02:20:26+00:00,False,,Mixed,Person search,,Offensive weapons,,,51.481025,2282610.0,On or near Guinea Lane,-2.530484,
25-34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-17T03:38:36+00:00,False,,White,Person search,,Offensive weapons,bu-arrest,Arrest,51.182183,2266993.0,On or near Springfield Close,-3.008624,
over 34,Summons / charged by post,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-17T04:22:06+00:00,False,,White,Person and Vehicle search,,Controlled drugs,bu-summons,Summons / charged by post,51.475816,2278897.0,On or near Petrol Station,-2.591258,
10-17,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-17T14:16:01+00:00,False,,White,Person search,,Offensive weapons,,,51.023324,2265885.0,On or near Taunton,-3.103084,
10-17,,True,Asian/Asian British - Any other Asian background,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-17T14:16:01+00:00,False,,Asian,Person search,,Offensive weapons,,,51.025067,2265807.0,On or near Raymond Street,-3.107061,
18-24,,True,Mixed/Multiple ethnic groups - White and Asian,Male,Police and Criminal Evidence Act 1984 (section 1),,2023-01-17T14:16:01+00:00,False,,Mixed,Person search,,Offensive weapons,,,51.025067,2265807.0,On or near Raymond Street,-3.107061,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),False,2023-01-17T15:46:33+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.656652,1564919.0,On or near Motorway Service Area,-2.427867,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),False,2023-01-17T15:46:33+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.656652,1564919.0,On or near Motorway Service Area,-2.427867,
over 34,Arrest,True,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),True,2023-01-17T16:11:33+00:00,False,,White,Person search,,Stolen goods,bu-arrest,Arrest,51.347580,2268000.0,On or near Regent Street,-2.978423,
over 34,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-17T17:22:47+00:00,False,,White,Person search,,Controlled drugs,,,51.020122,2266114.0,On or near Monks Close,-3.089749,
18-24,,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),,2023-01-17T18:47:46+00:00,False,,White,Person and Vehicle search,,Controlled drugs,,,51.321551,2268623.0,On or near Beechmount Close,-2.962858,
18-24,Community resolution,True,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),True,2023-01-17T18:47:46+00:00,True,,White,Person and Vehicle search,,Controlled drugs,bu-community-resolution,Community resolution,51.321551,2268623.0,On or near Beechmount Close,-2.962858,
